Country,Year,Month,Temp,Humidity,Rain_fall,wind_speed
Viet Nam,1901,1,19.7442,84,24.6243,1.6
Viet Nam,1901,2,20.2406,85,16.2715,1.7
Viet Nam,1901,3,22.1572,84,42.3639,1.7
Viet Nam,1901,4,25.3467,83,83.978,1.5
Viet Nam,1901,5,26.7649,77,162.14,1.5
Viet Nam,1901,6,27.0544,71,219.261,1.6
Viet Nam,1901,7,27.0121,80,258.113,1.5
Viet Nam,1901,8,26.6755,78,243.576,1.4
Viet Nam,1901,9,26.0196,82,266.886,1.4
Viet Nam,1901,10,24.6867,86,207.977,1.6
Viet Nam,1901,11,22.4678,86,141.316,1.7
Viet Nam,1901,12,20.2175,88,57.2224,1.5
Viet Nam,1902,1,19.8541,86,29.6208,1.6
Viet Nam,1902,2,19.6138,85,16.9914,1.6
Viet Nam,1902,3,22.9779,84,32.9155,1.8
Viet Nam,1902,4,25.453,81,73.069,1.5
Viet Nam,1902,5,27.2245,77,146.329,1.7
Viet Nam,1902,6,27.0939,73,210.238,2.5
Viet Nam,1902,7,27.0022,71,204.606,2.8
Viet Nam,1902,8,26.7933,82,310.489,2.9
Viet Nam,1902,9,25.9517,82,185.866,1.3
Viet Nam,1902,10,24.6336,84,221.432,1.4
Viet Nam,1902,11,22.8853,82,140.036,1.6
Viet Nam,1902,12,21.0551,82,117.289,1.4
Viet Nam,1903,1,19.4264,87,21.2046,1.1
Viet Nam,1903,2,20.1201,83,34.8725,1.3
Viet Nam,1903,3,22.9564,85,28.8778,1.6
Viet Nam,1903,4,25.9762,80,47.4915,1.6
Viet Nam,1903,5,26.6195,80,120.436,1.4
Viet Nam,1903,6,26.8618,74,190.991,1.4
Viet Nam,1903,7,26.8755,76,297.298,1.4
Viet Nam,1903,8,26.3445,78,267.882,1.4
Viet Nam,1903,9,25.5127,81,283.117,1.2
Viet Nam,1903,10,24.5631,87,245.285,1.1
Viet Nam,1903,11,21.7019,85,134.418,1
Viet Nam,1903,12,18.8439,85,61.5079,0.9
Viet Nam,1904,1,18.4279,85,15.574,1.6
Viet Nam,1904,2,20.4542,80,12.4653,1.6
Viet Nam,1904,3,21.7418,85,30.8583,1.6
Viet Nam,1904,4,24.7911,82,81.7502,1.5
Viet Nam,1904,5,26.3276,81,241.263,1.7
Viet Nam,1904,6,26.8603,77,293.484,1.4
Viet Nam,1904,7,26.7429,75,323.141,1.5
Viet Nam,1904,8,26.6843,78,268.649,2.9
Viet Nam,1904,9,26.1428,81,272.68,1.2
Viet Nam,1904,10,24.8926,88,219.869,1.4
Viet Nam,1904,11,22.0231,85,163.82,1.7
Viet Nam,1904,12,19.3703,87,71.5156,0.9
Viet Nam,1905,1,20.6991,86,17.2999,1.1
Viet Nam,1905,2,20.5459,85,18.7016,1.3
Viet Nam,1905,3,21.1576,84,60.0681,1.6
Viet Nam,1905,4,24.917,81,46.6899,1.6
Viet Nam,1905,5,26.9441,77,147.268,1.4
Viet Nam,1905,6,27.1493,73,254.158,1.4
Viet Nam,1905,7,27.0759,71,194.004,1.4
Viet Nam,1905,8,26.7677,82,195.873,1.4
Viet Nam,1905,9,26.2378,82,335.829,1.2
Viet Nam,1905,10,24.8232,84,199.159,1.1
Viet Nam,1905,11,22.7442,82,149.183,1
Viet Nam,1905,12,21.9876,82,78.5785,0.9
Viet Nam,1906,1,20.1325,84,50.2122,1.6
Viet Nam,1906,2,21.3171,85,9.32183,1.7
Viet Nam,1906,3,21.8135,84,27.5938,1.7
Viet Nam,1906,4,25.4722,83,49.7408,1.5
Viet Nam,1906,5,27.1468,77,220.613,1.5
Viet Nam,1906,6,27.5584,71,208.202,1.6
Viet Nam,1906,7,27.3663,80,208.181,1.5
Viet Nam,1906,8,27.0919,78,189.32,1.4
Viet Nam,1906,9,26.5702,82,338.62,1.4
Viet Nam,1906,10,24.5204,86,169.922,1.6
Viet Nam,1906,11,21.9425,86,132.931,1.7
Viet Nam,1906,12,20.5509,88,67.2002,1.5
Viet Nam,1907,1,19.805,87,40.3498,1.6
Viet Nam,1907,2,20.4623,83,30.653,1.6
Viet Nam,1907,3,21.5803,85,36.3949,1.8
Viet Nam,1907,4,24.7837,80,66.3495,1.5
Viet Nam,1907,5,26.354,80,166.088,1.7
Viet Nam,1907,6,26.6484,74,170.771,2.5
Viet Nam,1907,7,26.907,76,208.8,2.8
Viet Nam,1907,8,26.7279,78,257.66,2.9
Viet Nam,1907,9,26.01,81,236.306,1.3
Viet Nam,1907,10,25.1829,87,271.668,1.4
Viet Nam,1907,11,23.0292,85,164.83,1.6
Viet Nam,1907,12,19.4259,85,77.3046,1.4
Viet Nam,1908,1,19.8763,84,80.7093,1.6
Viet Nam,1908,2,20.2923,85,47.4395,1.6
Viet Nam,1908,3,21.5604,84,28.7764,1.8
Viet Nam,1908,4,25.0713,83,50.4546,1.5
Viet Nam,1908,5,26.4725,77,191.498,1.7
Viet Nam,1908,6,26.9422,71,251.748,2.5
Viet Nam,1908,7,26.9094,80,210.755,2.8
Viet Nam,1908,8,26.7525,78,281.205,2.9
Viet Nam,1908,9,26.1199,82,368.128,1.3
Viet Nam,1908,10,24.7825,86,215.135,1.4
Viet Nam,1908,11,22.0904,86,150.493,1.6
Viet Nam,1908,12,20.2436,88,84.2188,1.4
Viet Nam,1909,1,19.5941,84,45.9201,1.6
Viet Nam,1909,2,20.8169,85,36.0978,1.7
Viet Nam,1909,3,22.2486,84,37.4464,1.7
